"region","moy_pond_kcal_menage","moy_pond_kcal_par_tete","moy_pond_total_valeur_consommee","moy_pond_total_val_achat","moy_pond_total_val_auto","moy_pond_total_val_don","moy_pond_nb_produits","moy_pond_departement","moy_pond_Depense_de_consommation_par_tete","moy_pond_taux_autoconsommation","moy_pond_indice_div_cereales","moy_pond_rendement_kcal_fcfa","nb_menages","taille_totale"
"DAKAR",58311.903859767,976.061611175115,8790.71064661463,8604.30701260427,6.526284348865,179.877349661489,3.49318996415771,12.1465949820789,1045.18048537122,0.00121975592619876,0.421195327004247,6.67306788352268,428,2790
"DIOURBEL",83191.5514953088,1055.61310552329,11749.7416911331,11001.6331599341,613.35027365129,134.7582575477,3.1989835809226,32.4179046129789,1044.69306145556,0.0388902877431046,0.434057353651616,7.12715956989039,273,2558
"FATICK",92520.5828442029,1278.69457446022,11533.8681346331,9659.06870399126,1650.40760869565,224.39182194617,3.78933747412008,91.7391304347826,1132.4907910628,0.118624569245917,0.522396170504284,8.02590863538842,220,1932
"KAFFRINE",118308.921649103,1370.48095787956,13335.6200216948,10677.976773065,2367.0067264574,290.636522172397,3.36322869955157,122.133632286996,1080.46701322357,0.169309657810219,0.512040673939437,8.91684414727371,212,2230
"KAOLACK",105170.168605532,1238.15115547015,12851.8675139412,10040.3916611226,1912.47949477056,898.996358048082,3.72679045092838,61.5911330049261,1069.99114172721,0.128648172735908,0.495481370802055,8.09671059276578,258,2639
"KEDOUGOU",75526.8498858592,1208.43402482109,8838.99977912677,7938.07411652843,640.320082382741,260.605580215599,2.77045022194039,131.484464172479,986.952960527624,0.101836920185402,0.429960050398096,8.72285443935468,214,1577
"KOLDA",89731.5064284784,1176.00734822824,10861.1035707837,8167.1289751094,2264.83552222749,429.139073446818,3.48983845752996,101.809275664409,1018.73596453085,0.154045961914546,0.44269557029593,8.74498224688234,212,1919
"LOUGA",102252.571867854,1266.61774783264,13576.0186579176,12624.5650275062,280.134124890062,671.319505521352,3.34168865435356,82.2414248021108,1189.51386275156,0.0159612259776695,0.406722895896034,7.52459008923717,237,2274
"MATAM",105498.950652059,1257.26009357143,13545.0069961361,12314.8560992554,839.221526395646,390.929370485036,3.35435294117647,111.548235294118,1116.26255601909,0.0557421007306683,0.482541136770848,8.03979177365342,200,2125
"SAINT-LOUIS",81413.4197351138,1065.89882708907,11125.2370835527,10580.1329429473,381.852014010508,163.252126594946,3.79509632224168,42.077057793345,1014.06889833911,0.0311109939093385,0.458752060697437,7.47031384569102,249,2284
"SEDHIOU",110236.736722384,1467.32729573297,11959.9410812339,9860.06008559432,1825.80396075581,274.077034883721,2.64418604651163,141.945348837209,1131.45243762112,0.109487815672933,0.38383811339133,9.07130089971847,199,1720
"TAMBACOUNDA",96697.3229084471,1198.46978141484,10926.3550272579,7876.72047996403,2522.73141122914,526.903136064745,3.07738998482549,52.3424380374304,943.451219250135,0.186905928866096,0.461848102906098,9.01959486970266,213,1977
"THIES",78835.8713901099,1090.88252009419,11051.3965520975,10198.8374599992,578.666666666667,273.892425431711,3.22417582417582,71.8408791208791,1073.00875323371,0.0515864422628027,0.406015096708308,7.24801212658197,275,2275
"ZIGUINCHOR",67319.5433458355,912.632172788412,9031.66739364843,8586.43032485988,313.786859803414,131.450208985129,2.71805483704087,22.1991722710812,853.960269686131,0.0553517796064004,0.327657976228875,7.64074634071408,235,1933
NA,52691.6070394737,946.994506578947,7489.16301169591,7489.16301169591,0,0,3.36184210526316,NA,936.444627192982,0,0.43979470640903,6.9461465545214,25,152
